parameter,constr,definition,imu,ilo,ihi,omu,olo,ohi
t0_hiv,,year of HIV introduction to Eswatini,1982.5,1980.1,1984.9,1982.3,1980.1,1984.9
PX_w_fsw,,proportion of women who are FSW,0.0288,0.00703,0.065,0.0443,0.0198,0.0773
PX_w_h,,proportion of women who have 2+ partners in p12m,0.178,0.0961,0.278,0.185,0.106,0.279
PX_m_m,,proportion of men who have 2+ partners in p12m,0.133,0.1,0.17,0.133,0.1,0.17
dur_fsw_l,,duration in sex work among lower risk FSW,4.12,2.96,5.48,3.97,2.86,5.13
dur_fsw_h,,duration in sex work among higher risk FSW,9.41,6.3,13.1,9.31,6.32,13.0
dur_cli,,duration buying sex among clients,8.63,4.0,15.0,8.32,3.73,14.4
turn_xm_xl,,turnover rate from medium to lowest activity (women and men),0.216,0.05,0.5,0.206,0.058,0.464
Pturn_fsw_m:l,,proportion of FSW who transition to medium activity,0.724,0.503,0.898,0.721,0.482,0.89
Pturn_cli_m:l,,proportion of clients who transition to medium activity,0.602,0.249,0.9,0.587,0.252,0.893
growth_2050,,rate of Eswatini population growth in 2050,0.011,0.0072,0.0148,0.011,0.00723,0.0148
C12m_msp_xl,,number of main/spousal partners in p12m among lowest activity,0.37,0.251,0.498,0.382,0.265,0.507
C12m_cas_xl,,number of casual partners in p12m among lowest activity,0.366,0.201,0.549,0.377,0.22,0.552
C12m_cas_wm,,number of casual partners in p12m among medium activity women,1.58,1.2,2.0,1.62,1.24,2.02
RC_cas_cli:wm,,relative casual partners among clients vs medium activity women,0.625,0.269,0.981,0.702,0.285,0.99
C1m_swo_fsw_l,,number of occasional sex work partners in p1m among lower risk FSW,4.06,2.5,6.0,4.08,2.45,6.0
C1m_swr_fsw_l,,number of regular sex work partners in p1m among lower risk FSW,6.93,5.0,9.17,7.0,5.04,9.12
RC_swo_fsw_h:l,,relative occasional sex work partners among higher vs lower risk FSW,2.02,1.59,2.5,2.03,1.61,2.51
RC_swr_fsw_h:l,,relative regular sex work partners among higher vs lower risk FSW,1.49,1.3,1.7,1.5,1.31,1.71
KF_swx_cli,,rate of visiting FSW (sex acts) among clients overall,59.3,35.0,90.0,59.7,36.3,87.1
RKF_swx_cli_h:l,,relative visits (sex acts) among higher vs lower risk clients,2.03,1.6,2.5,2.04,1.59,2.55
F_msp,,rate of sex acts in main/spousal partnerships,77.3,26.0,156.0,100.0,44.5,171.0
RF_cas:msp,,relative rate of sex acts in casual vs main/spousal partnerships,0.75,0.512,0.988,0.792,0.526,0.99
